config,kernel,domain,mapped,core_type_idx,ii,throughput,git_hash,timestamp
hetero,qkv_proj,ai_llm,1,3,16,0.0625,4d4c308,2026-03-24T07:07:12Z
hetero,attn_score,ai_llm,1,2,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
hetero,softmax,ai_llm,1,3,2,0.5,4d4c308,2026-03-24T07:07:12Z
hetero,attn_output,ai_llm,1,2,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
hetero,ffn1,ai_llm,1,3,16,0.0625,4d4c308,2026-03-24T07:07:12Z
hetero,gelu,ai_llm,1,2,2,0.5,4d4c308,2026-03-24T07:07:12Z
hetero,ffn2,ai_llm,1,3,16,0.0625,4d4c308,2026-03-24T07:07:12Z
hetero,layernorm,ai_llm,1,3,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,fft_butterfly,dsp_ofdm,1,2,8,0.125,4d4c308,2026-03-24T07:07:12Z
hetero,channel_est,dsp_ofdm,1,2,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,equalizer,dsp_ofdm,1,2,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,qam_demod,dsp_ofdm,1,1,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,viterbi,dsp_ofdm,1,1,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,crc_check,dsp_ofdm,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
hetero,harris_corner,arvr_stereo,1,2,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,sad_matching,arvr_stereo,1,1,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,stereo_disparity,arvr_stereo,1,3,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,image_warp,arvr_stereo,1,2,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,post_filter,arvr_stereo,1,2,5,0.2,4d4c308,2026-03-24T07:07:12Z
hetero,imu_integration,robotics_vio,1,3,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,fast_detect,robotics_vio,1,1,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,orb_descriptor,robotics_vio,1,1,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,feature_match,robotics_vio,1,1,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,pose_estimate,robotics_vio,1,2,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,bfs_traversal,graph_analytics,1,1,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,pagerank_spmv,graph_analytics,1,2,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,triangle_count,graph_analytics,1,1,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,label_prop,graph_analytics,1,1,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,ntt,zk_stark,1,2,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,msm,zk_stark,1,2,5,0.2,4d4c308,2026-03-24T07:07:12Z
hetero,poseidon_hash,zk_stark,1,2,8,0.125,4d4c308,2026-03-24T07:07:12Z
hetero,poly_eval,zk_stark,1,2,5,0.2,4d4c308,2026-03-24T07:07:12Z
hetero,proof_compose,zk_stark,1,1,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,qkv_proj,ai_llm,1,0,16,0.0625,4d4c308,2026-03-24T07:07:12Z
homo_large,attn_score,ai_llm,1,0,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
homo_large,softmax,ai_llm,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,attn_output,ai_llm,1,0,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
homo_large,ffn1,ai_llm,1,0,16,0.0625,4d4c308,2026-03-24T07:07:12Z
homo_large,gelu,ai_llm,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
homo_large,ffn2,ai_llm,1,0,16,0.0625,4d4c308,2026-03-24T07:07:12Z
homo_large,layernorm,ai_llm,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_large,fft_butterfly,dsp_ofdm,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_large,channel_est,dsp_ofdm,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,equalizer,dsp_ofdm,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_large,qam_demod,dsp_ofdm,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
homo_large,viterbi,dsp_ofdm,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,crc_check,dsp_ofdm,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
homo_large,harris_corner,arvr_stereo,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,sad_matching,arvr_stereo,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,stereo_disparity,arvr_stereo,1,0,5,0.2,4d4c308,2026-03-24T07:07:12Z
homo_large,image_warp,arvr_stereo,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_large,post_filter,arvr_stereo,1,0,5,0.2,4d4c308,2026-03-24T07:07:12Z
homo_large,imu_integration,robotics_vio,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,fast_detect,robotics_vio,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_large,orb_descriptor,robotics_vio,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
homo_large,feature_match,robotics_vio,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
homo_large,pose_estimate,robotics_vio,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_large,bfs_traversal,graph_analytics,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_large,pagerank_spmv,graph_analytics,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,triangle_count,graph_analytics,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,label_prop,graph_analytics,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_large,ntt,zk_stark,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_large,msm,zk_stark,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_large,poseidon_hash,zk_stark,1,0,7,0.14285714,4d4c308,2026-03-24T07:07:12Z
homo_large,poly_eval,zk_stark,1,0,5,0.2,4d4c308,2026-03-24T07:07:12Z
homo_large,proof_compose,zk_stark,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,qkv_proj,ai_llm,0,-1,0.0,0.0,4d4c308,2026-03-24T07:07:12Z
homo_medium,attn_score,ai_llm,1,0,24,0.04166667,4d4c308,2026-03-24T07:07:12Z
homo_medium,softmax,ai_llm,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_medium,attn_output,ai_llm,1,0,24,0.04166667,4d4c308,2026-03-24T07:07:12Z
homo_medium,ffn1,ai_llm,0,-1,0.0,0.0,4d4c308,2026-03-24T07:07:12Z
homo_medium,gelu,ai_llm,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_medium,ffn2,ai_llm,0,-1,0.0,0.0,4d4c308,2026-03-24T07:07:12Z
homo_medium,layernorm,ai_llm,1,0,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,fft_butterfly,dsp_ofdm,1,0,16,0.0625,4d4c308,2026-03-24T07:07:12Z
homo_medium,channel_est,dsp_ofdm,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_medium,equalizer,dsp_ofdm,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_medium,qam_demod,dsp_ofdm,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,viterbi,dsp_ofdm,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_medium,crc_check,dsp_ofdm,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,harris_corner,arvr_stereo,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_medium,sad_matching,arvr_stereo,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_medium,stereo_disparity,arvr_stereo,1,0,10,0.1,4d4c308,2026-03-24T07:07:12Z
homo_medium,image_warp,arvr_stereo,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_medium,post_filter,arvr_stereo,1,0,9,0.11111111,4d4c308,2026-03-24T07:07:12Z
homo_medium,imu_integration,robotics_vio,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_medium,fast_detect,robotics_vio,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_medium,orb_descriptor,robotics_vio,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,feature_match,robotics_vio,1,0,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,pose_estimate,robotics_vio,1,0,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
homo_medium,bfs_traversal,graph_analytics,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_medium,pagerank_spmv,graph_analytics,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_medium,triangle_count,graph_analytics,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_medium,label_prop,graph_analytics,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
homo_medium,ntt,zk_stark,1,0,8,0.125,4d4c308,2026-03-24T07:07:12Z
homo_medium,msm,zk_stark,1,0,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
homo_medium,poseidon_hash,zk_stark,1,0,10,0.1,4d4c308,2026-03-24T07:07:12Z
homo_medium,poly_eval,zk_stark,1,0,7,0.14285714,4d4c308,2026-03-24T07:07:12Z
homo_medium,proof_compose,zk_stark,1,0,4,0.25,4d4c308,2026-03-24T07:07:12Z
